#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
    3927  228.297648  32.509326   52760.376164   52760.459091  95.000000  42.500000 220.339923  -1.054787
    3958  230.144100  38.542886   52787.226196   52787.311612  95.000000  50.000000 218.681949  -1.265134
    3964  218.179897  46.081048   52788.151581   52788.267264  95.000000  52.500000 207.315143  -1.264876
    3965  230.293947  38.719648   52788.276240   52788.360412  95.000000  50.000000 218.684049  -1.053136
    3967  236.241834  30.782858   52788.380146   52788.424512  95.000000  45.000000 227.070613  -1.055401
    3970  183.153933  13.724531   52789.136539   52789.205784  95.000000  15.000000 183.206220  -1.267990
    3971  199.818783  13.253086   52789.213554   52789.308921  95.000000  15.000000 199.419043  -1.266657
    3972  225.276219  10.269101   52789.316497   52789.379107  95.000000  15.000000 224.514461  -1.266473
    3983  221.000299  37.580029   52797.316284   52797.369773  95.000000  45.000000 212.770974  -1.267243
    3992  222.001957  37.214294   52811.230944   52811.304749  95.000000  45.000000 213.646961  -1.264244
    3996  206.831475  12.905833   52812.152767   52812.265964  95.000000  15.000000 206.256596  -1.057099
    3997  236.138998  30.840634   52812.275529   52812.339383  95.000000  45.000000 226.965055  -1.055863
    4002  207.400145  36.717394   52813.158619   52813.289230  95.000000  40.000000 202.789288  -1.053295
    4003  245.059031  24.921695   52813.298235   52813.336381  95.000000  45.000000 236.817317  -1.266319
    4007  205.489588  34.413806   52814.156260   52814.195650  95.000000  37.500000 201.788704  -1.264393
    4010  213.090468  32.776790   52815.149860   52815.265959  95.000000  37.500000 208.327924  -1.263496
    4011  230.136951  61.009581   52815.274504   52815.382311  95.000000  70.000000 205.097022  -1.266622
    4014  204.823806  34.746309   52816.150268   52816.285440  95.000000  37.500000 201.182858  -1.054304
    4015  239.157171  79.356558   52816.296139   52816.375749  95.000000  85.000000 193.612811  -1.265411
    4076  262.163193   7.108615   52873.129097   52873.224877  98.628767  27.191748 260.763556  -1.057370
    4128  343.152978  -1.056406   52908.233998   52908.447121  95.000000   0.000000 343.152978  -1.056406
    4134  241.098541  74.645606   52909.085082   52909.248449 186.882299  78.511386 267.973878  -1.056401
    4135  335.909726  66.112845   52909.258917   52909.381235 186.882299  78.511386 297.203524  -1.266532
    4136   28.856019  -1.260663   52909.399761   52909.484762  95.000000   0.000000  28.856019  -1.260663
    4144  267.101792  77.061500   52910.164192   52910.238826 186.882299  78.511386 274.701955  -1.267113
    4145  345.097151  -1.266843   52910.248806   52910.457784  95.000000   0.000000 345.097151  -1.266843
